StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q50,Q31,Q32,Q31,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q40_1,Q40_2,Q40_3,Q40_4,Q40_5,Q40_6,Q34_1,Q38_1,Q37_1,Q41,Q42,Q43,Q44,Q45,Q46,Q46_9_TEXT,Q47,Q48
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Informed Consent:
For compliances purposes, we would like to confirm your willingness to participate in this survey. Please read the attached file (Informed consent) for information.

 

Please select if you are willing to participate in this survey below",Are you above 18 years old?,Are you affiliated with IUPUI?,Indicate the best descriptions that you fall into (check all that apply),We want to know how you identify yourself with Jagathon: - I identify as a Jagathon community member,We want to know how you identify yourself with Jagathon: - My personal identity directly overlaps with the Jagathon community,We want to know how you identify yourself with Jagathon: - I am attached to the Jagathon community,We want to know how you identify yourself with Jagathon: - I feel like I belong to the Jagathon community,We want to know how you identify yourself with Jagathon: - I am a valuable member of the Jagathon community,We want to know how you identify yourself with Jagathon: - I am an important member of the Jagathon community,We want to know how you identify yourself with IUPUI: - I identify as an IUPUI community member,We want to know how you identify yourself with IUPUI: - My personal identity directly overlaps with the IUPUI community,We want to know how you identify yourself with IUPUI: - I am attached to the IUPUI community,We want to know how you identify yourself with IUPUI: - I feel like I belong to the IUPUI community,We want to know how you identify yourself with IUPUI: - I am a valuable member of the IUPUI community,We want to know how you identify yourself with IUPUI: - I am an important member of the IUPUI community,How do you feel about Jagathon,Q38,Q37,How likely would you participate in future Jagathon events?,How likely would you be to donate in future Jagathon events?,What is your age?,How do you identify yourself?,Choose one or more races that you identify with,What is your current status at IUPUI? - Selected Choice,What is your current status at IUPUI? - Other - Text,What is your employment status?,What is your Zip code?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID59""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID41_2""}","{""ImportId"":""QID41_3""}","{""ImportId"":""QID41_4""}","{""ImportId"":""QID41_5""}","{""ImportId"":""QID41_6""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID49_5""}","{""ImportId"":""QID49_6""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID55_9_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57_TEXT""}"
2022-04-03 19:17:18,2022-04-03 19:20:53,IP Address,166.205.124.135,100,214,True,2022-04-03 19:20:53,R_DpfwdxhBWCfvRPb,,,,,39.768402099609375,-86.15799713134765625,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,"I have heard of Jagathon,I have never gone to Jagathon",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,7,7,7,Moderately likely,Moderately likely,23,Female,Asian,Graduate,,Part-Time Student,46202
2022-04-03 19:23:17,2022-04-03 19:26:43,IP Address,99.44.212.77,100,205,True,2022-04-03 19:26:43,R_3CTSwloZCw1M5d2,,,,,39.7859954833984375,-86.15889739990234375,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I have never gone to Jagathon,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4,3.9,3.8,Neither likely nor unlikely,Moderately unlikely,23,Female,White,Graduate,,Full-Time Student,46202
2022-04-03 19:44:25,2022-04-03 19:46:06,IP Address,174.202.67.169,100,100,True,2022-04-03 19:46:06,R_bIB6nlNQ2IwxTUd,,,,,39.8983001708984375,-86.01149749755859375,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I have never gone to Jagathon,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4,4.2,4.2,Neither likely nor unlikely,Neither likely nor unlikely,27,Male,White,Graduate,,Full-Time Student,46202
2022-04-03 21:02:12,2022-04-03 21:05:04,IP Address,50.90.65.208,100,171,True,2022-04-03 21:05:04,R_BJHs7ATz8j0GYzT,,,,,39.7931976318359375,-86.21320343017578125,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I have never gone to Jagathon,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Agree,Disagree,Disagree,Agree,Agree,4.2,4,3.9,Slightly unlikely,Extremely unlikely,32,Male,Asian,Graduate,,Full-Time Employed,46222
2022-04-03 21:11:52,2022-04-03 21:13:46,IP Address,75.35.201.12,100,114,True,2022-04-03 21:13:47,R_3MuS2fRgb7mfOcG,,,,,39.8498992919921875,-86.26490020751953125,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I have heard of Jagathon,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,4.9,5.8,3.9,Extremely unlikely,Slightly unlikely,19,Female,Black or African American,Junior,,Full-Time Student,46214
2022-04-03 23:25:08,2022-04-03 23:27:28,IP Address,68.45.23.37,100,139,True,2022-04-03 23:27:28,R_1MM1pZJASVZvbz6,,,,,39.1396942138671875,-86.51409912109375,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I have never gone to Jagathon,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,2,2,1.9,Extremely unlikely,Extremely unlikely,22,Male,White,Graduate,,Full-Time Student,46131
2022-04-04 04:07:51,2022-04-04 04:10:09,IP Address,70.225.22.17,100,137,True,2022-04-04 04:10:09,R_DcMAaztTqzjYBsB,,,,,39.776397705078125,-86.107696533203125,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I have never gone to Jagathon,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Disagree,Disagree,Somewhat agree,Somewhat disagree,4.8,4.6,4.6,Moderately unlikely,Extremely unlikely,36,Female,White,Graduate,,Full-Time Employed,46201
2022-04-04 10:02:26,2022-04-04 10:04:03,IP Address,47.227.98.9,100,97,True,2022-04-04 10:04:04,R_1C8gZDksFqcbmTc,,,,,39.7436065673828125,-86.1157989501953125,anonymous,EN,I willingly agree to participate in this survey,Yes,Yes,I have never gone to Jagathon,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4,4,4,Slightly unlikely,Slightly unlikely,25,Male,White,Graduate,,Part-Time Employed,46225
